               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.033627,            0.032387,                   0,             0.90623,              0.8898,             0.93309,             0.58989,            0.029806,             0.02054,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.033465,            0.032385,                   0,             0.90644,             0.88595,             0.93284,             0.58674,            0.030101,            0.020648,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.033544,            0.032349,                   0,             0.91127,             0.89475,             0.93601,             0.58705,            0.030016,            0.020499,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.033119,            0.032647,                   0,             0.90753,             0.89276,             0.93589,             0.59477,            0.029565,            0.020385,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.033281,            0.032694,                   0,              0.9138,             0.89441,             0.93672,              0.5942,            0.029563,            0.020349,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.033008,            0.031548,                   0,              0.9088,             0.89749,             0.93717,             0.60297,            0.029032,            0.020135,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.032992,            0.032019,                   0,             0.90999,             0.89471,             0.93632,             0.60068,            0.029216,            0.020225,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.032844,            0.031596,                   0,             0.91289,             0.89226,             0.93624,             0.59783,            0.029399,            0.020199,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.032741,            0.032123,                   0,             0.91906,             0.89131,             0.93869,             0.59966,            0.029275,            0.020104,                   0,            0.000892,            0.000892,            0.000892
                  48,             0.03252,            0.031921,                   0,             0.91341,             0.89364,             0.93975,             0.60356,            0.029115,            0.020003,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.032215,            0.031545,                   0,             0.91502,             0.89703,             0.94047,             0.60246,            0.029124,            0.020086,                   0,            0.000496,            0.000496,            0.000496
